Nome,Nota Média,Situação
Nome,0.00,REPROVADO
Telefone,0.00,REPROVADO
Curso,0.00,REPROVADO
Nota1,0.00,REPROVADO
Nota2
Ana Silva,0.00,REPROVADO
(123) 456-7890,0.00,REPROVADO
Engenharia,8.85,APROVADO
Pedro Santos,8.85,APROVADO
(987) 654-3210,8.85,APROVADO
Medicina,8.15,APROVADO
Maria Oliveira,8.15,APROVADO
(555) 123-4567,8.15,APROVADO
Direito,9.15,APROVADO
João Pereira,9.15,APROVADO
(222) 789-4561,9.15,APROVADO
Arquitetura,6.85,REPROVADO
Sofia Alves,6.85,REPROVADO
(333) 567-8901,6.85,REPROVADO
Psicologia,8.50,APROVADO
Ricardo Ferreira,8.50,APROVADO
(444) 678-9012,8.50,APROVADO
Economia,7.25,APROVADO
Juliana Lima,7.25,APROVADO
(777) 890-1234,7.25,APROVADO
Administração,9.65,APROVADO
André Santos,9.65,APROVADO
(888) 234-5678,9.65,APROVADO
Engenharia,8.90,APROVADO
Laura Vieira,8.90,APROVADO
(999) 345-6789,8.90,APROVADO
Medicina,9.40,APROVADO
Felipe Rodrigues,9.40,APROVADO
(111) 456-7890,9.40,APROVADO
Direito,7.75,APROVADO
Mariana Costa,7.75,APROVADO
(222) 567-8901,7.75,APROVADO
Psicologia,8.45,APROVADO
Guilherme Almeida,8.45,APROVADO
(333) 678-9012,8.45,APROVADO
Economia,7.50,APROVADO
Carolina Oliveira,7.50,APROVADO
(444) 789-0123,7.50,APROVADO
Medicina,9.65,APROVADO
Eduardo Santos,9.65,APROVADO
(555) 890-1234,9.65,APROVADO
Engenharia,8.10,APROVADO
Beatriz Lima,8.10,APROVADO
(666) 901-2345,8.10,APROVADO
Arquitetura,7.15,APROVADO
Gustavo Vieira,7.15,APROVADO
(777) 012-3456,7.15,APROVADO
Direito,8.15,APROVADO
Isabela Almeida,8.15,APROVADO
(111) 222-3333,8.15,APROVADO
Engenharia,8.85,APROVADO
Rafael Santos,8.85,APROVADO
(444) 555-6666,8.85,APROVADO
Medicina,7.65,APROVADO
Fernanda Oliveira,7.65,APROVADO
(777) 888-9999,7.65,APROVADO
Direito,9.45,APROVADO
Lucas Pereira,9.45,APROVADO
(222) 333-4444,9.45,APROVADO
Arquitetura,6.55,REPROVADO
Mariana Alves,6.55,REPROVADO
(555) 666-7777,6.55,REPROVADO
Psicologia,8.80,APROVADO
Gustavo Ferreira,8.80,APROVADO
(888) 999-0000,8.80,APROVADO
Economia,7.65,APROVADO
Camila Lima,7.65,APROVADO
(111) 222-3333,7.65,APROVADO
Administração,9.80,APROVADO
André Santos,9.80,APROVADO
(444) 555-6666,9.80,APROVADO
Engenharia,8.35,APROVADO
Larissa Vieira,8.35,APROVADO
(777) 888-9999,8.35,APROVADO
Medicina,9.40,APROVADO
Pedro Rodrigues,9.40,APROVADO
(222) 333-4444,9.40,APROVADO
Direito,7.15,APROVADO
Sofia Costa,7.15,APROVADO
(555) 666-7777,7.15,APROVADO
Psicologia,8.45,APROVADO
Lucas Almeida,8.45,APROVADO
(888) 999-0000,8.45,APROVADO
Economia,6.95,REPROVADO
Gabriela Santos,6.95,REPROVADO
(111) 222-3333,6.95,REPROVADO
Administração,9.60,APROVADO
Mateus Oliveira,9.60,APROVADO
(444) 555-6666,9.60,APROVADO
Engenharia,8.55,APROVADO
Beatriz Lima,8.55,APROVADO
(777) 888-9999,8.55,APROVADO
Medicina,9.70,APROVADO
Lúcia Santos,9.70,APROVADO
(111) 222-3333,9.70,APROVADO
Engenharia,8.35,APROVADO
Ricardo Almeida,8.35,APROVADO
(444) 555-6666,8.35,APROVADO
Medicina,6.95,REPROVADO
Fernanda Oliveira,6.95,REPROVADO
(777) 888-9999,6.95,REPROVADO
Direito,9.00,APROVADO
João Pereira,9.00,APROVADO
(222) 333-4444,9.00,APROVADO
Arquitetura,5.90,REPROVADO
Isabela Alves,5.90,REPROVADO
(555) 666-7777,5.90,REPROVADO
Psicologia,9.40,APROVADO
